ID,AUTHOR_ID,LINK,CONTENT,ZAN,ZHUANFA,PINGLUN,TIME
57,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499529278207216,"What were you doing when you were 19?The 19-year-old Belgium-British teenage pilot Zara Rutherford set a new Guinness World Record as the youngest woman to command a solo flight around the world.Rutherford piloted her Shark ultralight one-seater plane from Kortrijk, Belgium, in some cases flying in solitude across seas or desolate lands with potential rescue hours away.Her 155-day journey took her across five continents and 41 countries. On her return to the same Kortrijk airport, the young pilot was greeted by a rapturous welcome from supporters and family.Rutherford beat out the previous record from then 30-year-old American aviator Shaesta Waiz, who held the record since 2017. #CGTNAmerica",586,74,13,2022-01-21 04:27:12
58,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499500734876737,"Abdulla Shahid, President of the 76th United Nations General Assembly and Foreign Minister of Maldives, confirmed his attendance at the opening ceremony of the #beijingwinterolympics2022 #CGTNAmerica",146,1,5,2022-01-21 03:27:20
59,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499491384877672,"The voting rights bill was blocked in the U.S. Senate, with every Senate Republican voting against moving the bill forward. Without the majority of 60 votes, the Senate Democrats couldn’t overcome the filibuster to advance the bill to final stages.The Democrats tried to change the Senate procedure to allow a simple majority(50) to advance the bill. The rules changes was rejected 52-48, with Senate Democrats Manchin and Sinema joining the Republicans in opposition.Both Manchin and Sinema say they support the legislation. Manchin is open to a more tailored package of voting law changes. Sinema said the outcome will not end the work to protect democracy but she warned ""these challenges cannot be solved by one party or Washington alone.”#votingrightsbill #Senate #JoeManchin #KyrstenSinema #cgtnamerica",141,5,16,2022-01-21 02:27:27
60,1,https://www.facebook.com/watch/?v=210325744642700,"As Beijing prepares for the Winter Games, volunteer Du Zhaoqi showcases traditional Chinese carvings by sculpting the Winter Games’ mascot Bing Dwen Dwen, into an orange. Bing Dwen Dwen has never looked so sweet (or citrusy). Check it out. #WinterOlympics #BeijingOlympics2022 #wintergames #CGTNAmerica收起",111,2270,6683,2022-01-21 02:27:33
61,1,https://www.facebook.com/watch/?v=613391693098860,"Despite the ongoing threat of climate change and global warming, scientists have discovered a 3-km long giant coral reef off the coast of Tahiti. The new discovery could shed a light on many more unknown reefs in the oceans. Take a look. #CGTNAmerica收起",83,994,6683,2022-01-21 02:27:42
62,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499474751546002,Rwanda launches first hot air balloon to boost tourism #CGTNAfrica ,286,3,6,2022-01-21 02:27:50
63,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499472508212893,"The former U.S. President Trump's daughter, Ivanka has been asked to cooperate with the House panel investigating the Jan.6 Capitol riot.",265,9,16,2022-01-21 02:27:57
64,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499471708212973,"The U.S. Supreme Court rejected requests by former President Donald Trump to block the release of White House documents wanted by the panel investigating the January 6 insurrection.The decision allows for documents, held by the National Archives, the federal agency that handles government and historical records, to be disclosed to the panel even as litigation continues in lower courts. #CGTNAmerica",173,10,13,2022-01-21 02:28:04
65,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499468394879971,"More than 800,000 cases of COVID-19 are being reported in the U.S. each day, as the Omicron variant spreads.  979,920 Americans tested positive for COVID-19  and 3,810 people died from COVID-19 on Wednesday in the U.S., according to Johns Hopkins data.Over 150,000 people are hospitalized in the U.S. with COVID-19 infections, but that number includes people with minimal symptoms who are hospitalized for other reasons. Having at least 70% of the Americas vaccinated by mid-2022 is the goal of the Pan American Health Organization, which aims to deliver 100 million vaccine doses to 33 countries, PAHO director Carissa Etienne said Wednesday.An executive order signed Wednesday by the Governor of the U.S. state of New Jersey said all health care workers employed in the state are required to receive primary doses of COVID-19 vaccines plus a booster with no option to test-out.  The U.S. Centers for Disease Control and Prevention (CDC) said in an ensemble forecast published Wednesday that more than 61,000 people could die in the country in next four weeks from COVID-19.  The CDC also said Wednesday that vaccination against COVID-19 protects against hospitalization significantly more than natural immunity from a COVID-19 infection. The American coffee chain Starbucks reversed its decision to mandate COVID-19 vaccinations for all of its employees, following the U.S. Supreme Court decision not to enforce President Biden’s vaccine and testing mandate for companies with over 100 employees.#CGTNAmerica",0,191,203,2022-01-21 02:28:23
66,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499404114886399,"U.S. President Joe Biden marked the upcoming one-year anniversary of his presidency by highlighting accomplishments and taking questions from the press. Biden's press conference covered several issues, foreign and domestic.More here: https://bit.ly/3tLnP4a",155,10,18,2022-01-21 01:28:38
